HOLDDATE,LGCYINVESTORID,Delta
2016-12-31,2002295,4.5049502517432114e-05
2017-03-31,2002295,0.00013901494080705934
2017-06-30,2002295,5.465369073563988e-05
2017-09-30,2002295,2.2591518298761177e-05
2017-12-31,2002295,3.9631793312127063e-05
2018-03-31,2002295,3.2047485362257906e-05
2018-06-30,2002295,3.396573136184914e-05
2018-09-30,2002295,3.031694474912296e-05
2018-12-31,2002295,0.0001411729655110282
2019-03-31,2002295,9.831065518943424e-05
2019-06-30,2002295,0.0002150363939346428
2019-09-30,2002295,1.9754939740205843e-05
2019-12-31,2002295,3.9701760392457534e-05
2020-03-31,2002295,0.00012916030118893492
2020-06-30,2002295,0.0002763213794895118
2010-06-30,2002303,0.0
2010-09-30,2002303,0.0
2010-12-31,2002303,0.0034833836351256947
2011-03-31,2002303,0.003517178284463301
2011-06-30,2002303,0.0007413850686884057
2011-09-30,2002303,0.004883748614351543
2011-12-31,2002303,0.0015614158069576199
2012-03-31,2002303,0.0005291476221256854
2012-06-30,2002303,0.0008332348149633343
2012-09-30,2002303,0.0005566351769214238
2012-12-31,2002303,0.0016221497779744679
2013-03-31,2002303,0.0006763800168506166
2013-06-30,2002303,0.0007587829472863798
2013-09-30,2002303,0.0005598004133444129
